date,high,low,open,close,volume,quoteVolume,weightedAverage
2021-06-24,35274.33,32334.88,33670.32,34656.51,893.17903658,30162092.68112229,33769.36923711
2021-06-25,35498.0,31298.43,34663.74,31592.16,1203.76884301,39804797.062084,33066.81120152
2021-06-26,32702.78,30173.0,31592.0,32274.17,1476.57463309,46249652.40760525,31322.25853753
2021-06-27,34730.0,32002.62,32277.23,34650.55,1336.12453485,44190274.59174927,33073.46990429
2021-06-28,35287.95,33880.52,34708.87,34460.17,1152.51585267,39754227.91710351,34493.43262828
2021-06-29,36590.58,34236.82,34483.9,35901.87,1628.81431585,57800830.19924378,35486.44534664
2021-06-30,36100.0,34052.39,35908.62,35036.69,752.99314899,26194492.7287067,34787.15943676
2021-07-01,35031.66,32701.2,35026.34,33529.99,929.0130071,31175160.9842001,33557.29225096
2021-07-02,33970.0,32702.28,33529.99,33788.57,833.78032476,27758629.44630534,33292.49758237
2021-07-03,34944.04,33332.7,33788.57,34670.16,482.26476432,16587762.26060396,34395.55092521
2021-07-04,35951.09,34374.22,34669.43,35298.76,427.77305771,15114563.0936299,35333.13475734
2021-07-05,35297.0,33150.0,35297.0,33684.95,547.22453389,18656838.71780612,34093.57139962
2021-07-06,35139.11,33550.0,33714.58,34228.44,596.13064461,20379962.25553996,34187.07365542
2021-07-07,35059.2,33788.75,34190.58,33863.26,527.6774495,18251343.54392682,34588.06807306
2021-07-08,33919.54,32100.0,33819.53,32856.36,862.60059519,28348434.64801444,32863.9173287
2021-07-09,34082.03,32284.59,32877.5,33834.27,501.81421607,16623986.75542428,33127.7716395
2021-07-10,34251.91,33050.0,33820.57,33503.84,360.92080585,12149979.97771685,33663.83921564
2021-07-11,34608.61,33256.05,33507.09,34251.65,431.21482261,14598771.83667898,33854.98612574
2021-07-12,34657.92,32665.8,34251.65,33107.0,478.80453677,16127117.51000407,33682.04825041
2021-07-13,33323.18,32209.12,33090.01,32718.51,538.56453772,17665560.41012846,32801.19497825
2021-07-14,33090.2,31603.65,32744.0,32814.99,815.30537585,26370489.26091198,32344.30931283
2021-07-15,33182.23,31152.68,32814.99,31877.44,974.35929965,31161452.21587269,31981.47975502
2021-07-16,32237.85,31034.77,31877.44,31384.85,783.9564892,24950313.69572042,31826.14601631
2021-07-17,31938.8,31181.08,31399.24,31519.21,490.76193769,15469010.28669433,31520.39532549
2021-07-18,32409.61,31019.12,31520.35,31777.83,603.9114235,19149427.54031046,31709.00035195
2021-07-19,31882.37,30448.85,31803.27,30821.16,575.09077011,17793129.79956483,30939.68939227
2021-07-20,31053.42,29302.68,30840.13,29787.96,771.29748229,23019903.83469909,29845.68777062
2021-07-21,32796.56,29500.0,29797.93,32136.39,886.17118524,28010209.3694112,31608.12474603
2021-07-22,32589.57,31716.43,32138.0,32292.47,570.12273116,18319486.55753805,32132.53139418
2021-07-23,33628.6,31986.19,32294.33,33628.6,679.16688379,22146800.59846097,32608.77573251
2021-07-24,34484.47,33400.0,33628.6,34250.27,511.20124283,17279464.12270717,33801.68644944
2021-07-25,35388.99,33867.0,34259.68,35374.93,703.18429188,24203191.74661673,34419.41469128
2021-07-26,40519.09,35245.64,35379.51,37244.82,1443.62572041,55125882.36500392,38185.71641224
2021-07-27,39527.68,36399.0,37240.75,39471.47,1015.07705009,38334649.383819,37765.26065722
2021-07-28,40885.77,38593.02,39453.18,39999.52,769.9276961,30677188.91039172,39844.24649974
2021-07-29,40620.81,39250.98,40012.22,40016.0,510.29815027,20362717.6474288,39903.56938714
2021-07-30,42282.59,38330.0,40021.73,42183.51,763.98015529,30850935.19158601,40381.8541332
2021-07-31,42359.03,41050.0,42203.04,41432.85,726.89853445,30256501.10390855,41624.10524985
2021-08-01,42577.0,39436.21,41444.77,39872.15,968.45084051,39849532.74217995,41147.70835574
2021-08-02,40468.68,38671.94,39851.99,39157.55,877.07160383,34704340.14459061,39568.42291215
2021-08-03,39758.81,37646.99,39145.91,38200.0,536.73202977,20564070.65710409,38313.47770677
2021-08-04,39951.37,37531.37,38199.99,39729.71,379.50107182,14634251.81476754,38561.8194557
2021-08-05,41350.0,37349.83,39742.03,40855.24,506.51433497,19987368.49584658,39460.61762897
2021-08-06,43320.0,39894.01,40855.45,42789.06,787.62590263,32512599.22868434,41279.24071582
2021-08-07,44689.46,42492.27,42836.09,44603.34,989.41850957,43221677.13634445,43683.91809763
2021-08-08,45290.92,43297.25,44586.0,43777.87,1402.46092841,62335506.27585253,44447.23201417
2021-08-09,46452.96,42795.1,43797.0,46309.98,1192.69661233,53307941.0077843,44695.30680031
2021-08-10,46666.0,44647.24,46260.02,45583.64,901.96312477,41199661.62127585,45677.76718342
2021-08-11,46746.0,45357.14,45559.65,45543.63,501.35108531,23122829.20489278,46121.03151346
2021-08-12,46214.0,43800.0,45533.71,44411.87,678.87803531,30570262.94887141,45030.56713996
